Block	CountA	CountB	SNVs	Haplotype
833	2	2	match	match
834	2	2	match	match
835	2	2	match	match
836	3	3	match	-
837	2	2	match	match
838	2	2	match	match
839	2	2	match	match
840	3	3	match	match
841	4	4	match	match
842	3	3	match	match
843	3	3	match	match
844	2	2	match	match
845	2	2	match	match
846	2	2	match	match
847	2	2	match	match
848	2	2	match	match
849	6	6	match	-
850	4	4	match	match
851	2	2	match	match
852	3	3	match	match
853	2	2	match	match
854	2	2	match	match
855	2	2	match	match
856	3	3	match	match
857	4	4	match	match
858	2	2	match	match
859	2	2	match	match
860	9	9	match	match
861	3	3	match	match
862	2	2	match	match
863	3	3	match	match
864	3	3	match	match
865	2	2	match	match
866	2	2	match	match
867	3	3	match	match
868	2	2	match	match
869	2	2	match	match
870	6	6	match	match
871	7	7	match	match
872	4	4	match	match
873	2	2	match	match
874	5	5	match	match
875	5	5	match	match
876	2	1	-	-
877	3	3	match	match
878	2	2	match	match
879	7	7	match	match
880	2	2	match	match
881	6	6	match	-
882	3	3	match	match
883	4	4	match	match
884	2	2	match	match
885	2	2	match	match
886	4	4	match	match
887	7	7	match	-
888	13	13	match	match
889	5	5	match	match
890	13	13	match	match
891	2	2	match	match
892	2	2	match	match
893	2	2	match	match
894	2	2	match	match
895	6	6	match	match
896	9	9	match	-
897	8	8	match	-
898	3	3	match	match
899	2	2	match	match
900	2	2	match	match
901	7	7	match	match
902	2	2	match	match
903	3	3	match	match
904	3	3	match	-
905	2	2	match	match
906	2	2	match	match
907	3	3	match	match
908	2	2	match	match
909	2	2	match	match
910	9	9	match	match
911	8	8	match	match
912	12	12	match	match
913	2	2	match	match
914	2	2	match	match
915	5	5	match	match
916	2	2	match	match
917	3	3	match	match
918	2	2	match	match
919	3	3	match	match
920	4	4	match	match
921	3	3	match	match
922	3	3	match	match
923	2	2	match	match
924	8	8	match	match
925	3	3	match	match
926	2	2	match	match
927	2	2	match	match
928	2	2	match	match
929	3	3	match	match
930	2	2	match	match
931	2	2	match	match
932	2	2	match	match
933	3	3	match	match
934	2	2	match	match
935	2	2	match	match
936	2	2	match	match
937	5	5	match	match
938	19	19	match	-
939	4	4	match	match
940	2	2	match	match
941	2	2	match	match
942	2	2	match	match
943	9	9	match	match
944	5	5	match	match
945	3	3	match	match
946	3	3	match	match
947	2	2	match	match
948	3	3	match	-
949	2	2	match	match
950	2	2	match	-
951	2	2	match	match
952	2	2	match	match
953	3	3	match	match
954	2	2	match	match
955	3	3	match	match
956	4	4	match	match
957	3	3	match	match
958	22	22	match	-
959	4	4	match	match
960	2	2	match	match
961	2	2	match	match
962	3	3	match	match
963	2	2	match	match
964	2	2	match	match
965	4	4	match	match
966	2	2	match	match
967	4	4	match	match
968	29	29	match	-
969	16	16	match	-
970	2	2	match	match
971	2	2	match	match
972	3	3	match	match
973	2	2	match	match
974	2	2	match	match
975	22	22	match	-
976	3	3	match	match
977	5	5	match	match
978	3	3	match	match
979	7	7	match	-
980	3	3	match	match
981	7	7	match	match
982	3	3	match	match
983	5	5	match	match
984	5	5	match	match
985	2	2	match	match
986	4	4	match	match
987	2	2	match	match
988	2	2	match	match
989	2	2	match	match
990	2	2	match	match
991	2	2	match	match
992	2	2	match	match
993	3	3	match	match
994	3	3	match	match
995	2	2	match	match
996	2	2	match	match
997	3	3	match	match
998	7	7	match	match
999	2	2	match	match
1000	6	6	match	match
1001	2	2	match	match
1002	2	2	match	match
1003	2	2	match	match
1004	2	2	match	match
1005	2	2	match	match
1006	4	4	match	match
1007	2	2	match	match
1008	3	3	match	match
1009	3	3	match	match
1010	2	2	match	match
1011	3	3	match	match
1012	3	3	match	match
1013	3	3	match	match
1014	2	2	match	match
1015	6	6	match	match
1016	3	3	match	match
1017	2	2	match	match
1018	2	2	match	match
1019	4	4	match	-
1020	4	4	match	match
1021	3	3	match	match
1022	3	3	match	match
1023	2	2	match	match
1024	3	3	match	match
1025	4	4	match	match
1026	2	2	match	match
1027	2	2	match	match
1028	2	2	match	match
1029	4	4	match	match
1030	2	2	match	match
1031	3	3	match	match
1032	4	4	match	match
1033	4	4	match	match
1034	4	4	match	match
1035	2	2	match	match
1036	3	3	match	match
1037	4	4	match	match
1038	3	3	match	match
1039	3	3	match	match
1040	2	2	match	match
1041	3	3	match	match
1042	3	3	match	match
1043	2	2	match	match
1044	2	2	match	match
1045	3	3	match	match
1046	2	2	match	match
1047	2	2	match	match
1048	2	2	match	match
1049	2	2	match	match
1050	2	2	match	match
1051	3	3	match	match
1052	3	3	match	match
1053	2	2	match	match
1054	2	2	match	match
1055	8	8	match	match
1056	2	2	match	match
1057	3	3	match	match
1058	2	2	match	match
1059	2	2	match	match
1060	2	2	match	match
1061	3	3	match	match
1062	3	3	match	-
1063	3	3	match	match
1064	4	4	match	match
1065	3	3	match	match
1066	2	2	match	match
1067	2	2	match	match
1068	3	3	match	-
1069	2	2	match	match
1070	4	4	match	match
1071	4	4	match	match
1072	5	5	match	-
1073	2	2	match	match
1074	2	2	match	match
1075	8	8	match	match
1076	3	3	match	match
1077	2	2	match	match
1078	2	2	match	match
1079	4	4	match	match
1080	9	9	match	match
1081	2	2	match	match
1082	3	3	match	match
1083	2	2	match	match
1084	5	5	match	match
1085	3	3	match	match
1086	4	4	match	match
1087	8	8	match	match
1088	3	3	match	match
1089	3	3	match	match
1090	2	2	match	match
1091	2	2	match	match
1092	3	3	match	match
1093	8	8	match	match
1094	2	2	match	match
1095	2	2	match	match
1096	2	2	match	match
1097	2	2	match	match
1098	2	2	match	match
1099	3	3	match	match
1100	3	3	match	match
1101	2	2	match	match
1102	4	4	match	match
1103	8	8	match	-
1104	4	4	match	match
1105	4	4	match	match
1106	9	9	match	match
1107	3	3	match	match
1108	2	2	match	match
1109	3	3	match	match
1110	2	2	match	match
1111	2	2	match	match
1112	2	2	match	match
1113	3	3	match	match
1114	5	5	match	match
1115	2	2	match	match
1116	5	5	match	-
1117	3	3	match	match
1118	2	2	match	match
1119	7	7	match	match
1120	8	8	match	-
1121	2	2	match	match
1122	2	2	match	match
1123	4	4	match	match
1124	4	4	match	match
1125	3	3	match	match
1126	2	2	match	match
1127	2	2	match	match
1128	2	2	match	match
1129	8	8	match	match
1130	2	2	match	match
1131	3	3	match	match
1132	5	5	match	match
1133	2	2	match	match
1134	9	9	match	match
1135	5	5	match	-
1136	4	4	match	match
1137	2	2	match	match
1138	3	3	match	match
1139	3	3	match	match
1140	9	9	match	match
1141	2	2	match	match
1142	2	2	match	match
1143	3	3	match	match
1144	3	3	match	match
1145	2	2	match	match
1146	2	2	match	match
1147	5	5	match	match
1148	2	2	match	match
1149	2	2	match	match
1150	2	2	match	-
1151	2	2	match	match
1152	3	3	match	match
1153	3	3	match	match
1154	7	7	match	-
1155	13	13	match	match
1156	2	2	match	match
1157	5	5	match	match
1158	4	4	match	match
1159	2	2	match	match
1160	2	2	match	match
1161	2	2	match	match
1162	2	2	match	match
1163	2	2	match	match
1164	4	4	match	match
1165	3	3	match	match
1166	6	6	match	match
1167	2	2	match	match
1168	2	2	match	match
1169	2	2	match	match
1170	4	4	match	match
1171	2	2	match	match
1172	4	4	match	match
1173	7	7	match	match
1174	4	4	match	match
1175	3	3	match	match
1176	2	2	match	match
1177	2	2	match	-
1178	2	2	match	match
1179	2	2	match	match
1180	2	2	match	match
1181	2	2	match	match
1182	5	5	match	match
1183	2	2	match	match
1184	3	3	match	match
1185	2	2	match	match
1186	6	6	match	match
1187	6	6	match	match
1188	2	2	match	match
1189	2	2	match	match
1190	2	2	match	match
1191	2	2	match	match
1192	2	2	match	match
1193	2	2	match	match
1194	5	5	match	match
1195	2	2	match	match
1196	2	2	match	match
1197	5	5	match	match
1198	2	2	match	match
1199	8	8	match	match
1200	2	2	match	match
1201	6	6	match	-
1202	2	2	match	match
1203	2	2	match	match
1204	3	3	match	match
1205	3	3	match	match
1206	2	2	match	match
1207	3	3	match	match
1208	2	2	match	match
1209	2	2	match	match
1210	2	2	match	match
1211	6	6	match	match
1212	2	2	match	match
1213	2	2	match	match
1214	2	2	match	match
1215	4	4	match	match
1216	3	3	match	-
1217	4	4	match	match
1218	5	5	match	match
1219	2	2	match	match
1220	2	2	match	match
1221	2	2	match	match
