Block	CountA	CountB	SNVs	Haplotype
614	2	1	-	-
615	2	2	match	match
616	3	3	match	-
617	4	3	-	-
618	3	2	-	-
619	2	2	match	match
620	2	2	match	-
621	3	2	-	-
622	4	3	-	-
623	3	2	-	-
624	2	1	-	-
625	3	2	-	-
626	2	1	-	-
627	17	16	-	-
628	3	2	-	-
629	6	5	-	-
630	3	3	match	match
631	2	2	match	match
632	2	0	-	-
633	3	3	match	match
634	2	1	-	-
635	3	3	match	-
636	2	1	-	-
637	2	1	-	-
638	2	1	-	-
639	2	1	-	-
640	2	1	-	-
641	4	4	match	match
642	5	4	-	-
643	2	1	-	-
644	2	1	-	-
645	2	1	-	-
646	3	2	-	-
647	2	2	match	match
648	2	1	-	-
649	2	1	-	-
650	6	5	-	-
651	7	5	-	-
652	2	1	-	-
653	3	2	-	-
654	2	1	-	-
655	2	1	-	-
656	2	1	-	-
657	3	2	-	-
658	6	4	-	-
659	5	5	match	match
660	2	2	match	match
661	2	1	-	-
662	3	3	match	-
663	2	1	-	-
664	2	1	-	-
665	4	3	-	-
666	4	3	-	-
667	2	2	match	-
668	2	1	-	-
669	2	1	-	-
670	5	3	-	-
671	2	1	-	-
672	3	2	-	-
673	2	1	-	-
674	4	3	-	-
675	7	6	-	-
676	3	3	match	-
677	6	5	-	-
678	5	5	match	match
679	4	2	-	-
680	2	1	-	-
681	2	2	match	-
682	2	1	-	-
683	3	2	-	-
684	2	1	-	-
685	2	0	-	-
686	4	3	-	-
687	5	4	-	-
688	8	8	match	-
689	2	1	-	-
690	2	1	-	-
691	3	2	-	-
692	2	1	-	-
693	2	1	-	-
694	8	7	-	-
695	2	1	-	-
696	2	1	-	-
697	4	4	match	match
698	2	1	-	-
699	2	1	-	-
700	2	1	-	-
701	4	3	-	-
702	2	2	match	-
703	2	1	-	-
704	3	2	-	-
705	2	1	-	-
706	2	2	match	match
707	2	1	-	-
708	2	1	-	-
709	2	1	-	-
710	2	1	-	-
711	2	1	-	-
712	3	3	match	-
713	2	1	-	-
714	6	4	-	-
715	10	8	-	-
716	10	9	-	-
717	4	3	-	-
718	3	1	-	-
719	4	3	-	-
720	3	2	-	-
721	4	1	-	-
722	4	2	-	-
723	5	5	match	-
724	2	1	-	-
725	3	2	-	-
726	3	2	-	-
727	6	5	-	-
728	29	22	-	-
729	2	1	-	-
730	2	1	-	-
731	2	1	-	-
732	3	2	-	-
733	3	2	-	-
734	5	4	-	-
735	3	2	-	-
736	2	1	-	-
737	3	2	-	-
