Block	CountA	CountB	SNVs	Haplotype
2770	11	9	-	-
2771	3	3	match	match
2772	5	5	match	match
2773	5	5	match	match
2774	5	5	match	match
2775	4	4	match	match
2776	3	2	-	-
2777	41	40	-	-
2778	9	8	-	-
2779	8	5	-	-
2780	6	3	-	-
2781	2	2	match	match
2782	2	0	-	-
2783	2	2	match	match
2784	2	2	match	match
2785	2	0	-	-
2786	2	2	match	match
2787	8	8	match	match
2788	11	10	-	-
2789	2	2	match	match
2790	4	4	match	match
2791	6	5	-	-
2792	5	5	match	match
2793	2	0	-	-
2794	2	2	match	match
2795	2	2	match	match
2796	5	5	match	match
2797	2	2	match	match
2798	3	3	match	match
2799	2	2	match	match
2800	9	7	-	-
2801	5	5	match	match
2802	11	10	-	-
2803	2	0	-	-
2804	3	0	-	-
2805	3	3	match	match
2806	3	3	match	match
2807	2	0	-	-
2808	4	4	match	match
2809	3	2	-	-
2810	2	2	match	match
2811	2	0	-	-
2812	51	42	-	-
2813	2	2	match	match
2814	2	2	match	match
2815	4	4	match	match
2816	2	2	match	match
2817	11	7	-	-
2818	5	4	-	-
2819	33	26	-	-
2820	9	7	-	-
2821	10	4	-	-
2822	2	0	-	-
2823	5	4	-	-
2824	187	104	-	-
2825	3	2	-	-
2826	10	2	-	-
2827	12	7	-	-
2828	5	4	-	-
2829	2	2	match	match
2830	2	2	match	match
2831	11	5	-	-
2832	2	0	-	-
2833	3	0	-	-
2834	6	0	-	-
2835	2	2	match	match
2836	15	10	-	-
2837	2	2	match	match
2838	2	0	-	-
2839	3	2	-	-
2840	7	2	-	-
2841	2	0	-	-
2842	3	3	match	match
2843	44	31	-	-
2844	7	2	-	-
2845	2	0	-	-
2846	8	4	-	-
2847	2	0	-	-
2848	16	6	-	-
2849	29	17	-	-
2850	2	2	match	match
2851	46	33	-	-
2852	2	2	match	match
2853	5	2	-	-
2854	4	4	match	match
2855	2	0	-	-
2856	19	18	-	-
2857	3	2	-	-
2858	13	7	-	-
2859	3	0	-	-
2860	3	3	match	match
2861	16	11	-	-
2862	9	8	-	-
2863	6	6	match	-
2864	28	20	-	-
2865	4	0	-	-
2866	2	2	match	match
2867	2	2	match	match
2868	100	72	-	-
2869	3	0	-	-
2870	2	0	-	-
2871	4	4	match	match
2872	3	3	match	match
2873	2	2	match	match
2874	2	0	-	-
2875	2	2	match	match
2876	6	4	-	-
2877	4	2	-	-
2878	2	0	-	-
2879	2	2	match	match
2880	3	0	-	-
2881	127	67	-	-
2882	2	2	match	match
2883	5	2	-	-
2884	2	0	-	-
2885	3	0	-	-
2886	530	347	-	-
2887	3	2	-	-
2888	2	2	match	match
2889	2	0	-	-
2890	4	0	-	-
2891	7	2	-	-
2892	19	10	-	-
2893	5	5	match	match
2894	2	0	-	-
2895	2	2	match	match
2896	3	2	-	-
2897	2	0	-	-
2898	5	0	-	-
2899	5	2	-	-
2900	34	14	-	-
2901	20	11	-	-
2902	2	2	match	match
2903	2	0	-	-
2904	2	2	match	match
2905	6	6	match	match
2906	4	0	-	-
2907	2	0	-	-
2908	11	6	-	-
2909	20	13	-	-
2910	4	4	match	match
2911	4	4	match	-
2912	2	0	-	-
2913	2	2	match	match
2914	496	419	-	-
2915	6	6	match	-
2916	1187	1076	-	-
2917	3	0	-	-
2918	671	427	-	-
2919	2	0	-	-
2920	7	7	match	-
2921	6	0	-	-
2922	2	0	-	-
2923	3	0	-	-
2924	32	17	-	-
2925	4	4	match	match
2926	2	0	-	-
2927	7	3	-	-
2928	2	0	-	-
2929	58	51	-	-
2930	3	0	-	-
2931	20	16	-	-
2932	5	5	match	match
2933	5	3	-	-
2934	4	3	-	-
2935	2	2	match	match
2936	10	8	-	-
2937	3	0	-	-
2938	44	31	-	-
2939	2	2	match	match
2940	15	9	-	-
2941	3	2	-	-
2942	2	0	-	-
2943	20	18	-	-
2944	4	3	-	-
2945	3	3	match	match
2946	4	3	-	-
2947	6	2	-	-
2948	6	6	match	match
2949	5	5	match	match
2950	5	5	match	match
2951	4	4	match	match
2952	41	12	-	-
2953	2	2	match	match
2954	2	0	-	-
2955	68	43	-	-
2956	2	0	-	-
2957	147	79	-	-
2958	3	0	-	-
2959	5	0	-	-
2960	2	2	match	match
2961	48	25	-	-
2962	2	2	match	match
2963	2	2	match	match
2964	2	0	-	-
2965	2	2	match	match
2966	2	0	-	-
2967	2	0	-	-
2968	2	0	-	-
2969	7	0	-	-
2970	5	0	-	-
2971	2	0	-	-
2972	2	2	match	match
2973	4	4	match	match
2974	6	2	-	-
2975	4	3	-	-
2976	4	0	-	-
2977	2	0	-	-
2978	2	0	-	-
2979	6	6	match	match
2980	2	0	-	-
2981	3	3	match	match
2982	2	2	match	match
2983	4	4	match	match
2984	7	5	-	-
2985	5	5	match	match
2986	3	0	-	-
2987	2	2	match	match
2988	3	2	-	-
2989	43	40	-	-
2990	2	0	-	-
2991	43	20	-	-
2992	2	0	-	-
2993	3	2	-	-
2994	2	0	-	-
2995	3	2	-	-
2996	7	6	-	-
2997	8	7	-	-
2998	54	44	-	-
2999	2	0	-	-
3000	9	7	-	-
3001	3	3	match	match
3002	5	3	-	-
3003	2	2	match	match
3004	108	90	-	-
3005	429	304	-	-
3006	2	2	match	match
3007	3	2	-	-
3008	3	3	match	match
3009	2	0	-	-
3010	2	2	match	match
3011	3	2	-	-
3012	9	4	-	-
3013	4	2	-	-
3014	3	3	match	match
3015	5	4	-	-
3016	3	3	match	match
3017	3	3	match	match
3018	2	2	match	match
3019	2	2	match	match
3020	96	46	-	-
3021	2	0	-	-
3022	2	2	match	match
3023	2	0	-	-
3024	2	0	-	-
3025	7	4	-	-
3026	5	3	-	-
3027	16	6	-	-
3028	2	0	-	-
3029	4	2	-	-
3030	26	10	-	-
3031	2	2	match	match
3032	2	0	-	-
3033	3	3	match	match
3034	8	8	match	match
3035	2	2	match	match
3036	2	2	match	match
3037	2	2	match	match
3038	3	3	match	match
3039	59	30	-	-
3040	66	18	-	-
3041	3	2	-	-
3042	3	3	match	match
3043	5	4	-	-
3044	2	0	-	-
3045	2	2	match	match
3046	178	114	-	-
3047	2	2	match	match
3048	13	4	-	-
3049	2	0	-	-
3050	5	2	-	-
3051	2	0	-	-
3052	17	9	-	-
3053	133	75	-	-
3054	2	2	match	match
3055	42	33	-	-
3056	2	0	-	-
3057	25	11	-	-
3058	2	2	match	match
3059	2	2	match	match
3060	3	3	match	match
3061	5	4	-	-
3062	37	18	-	-
3063	4	2	-	-
3064	46	22	-	-
3065	3	2	-	-
3066	30	4	-	-
3067	4	0	-	-
3068	387	236	-	-
3069	2	0	-	-
3070	3	3	match	match
3071	2	2	match	match
3072	3	3	match	match
3073	2	2	match	match
